protocol,name,address,data_type,access,initial_value,notes
ModbusTcp,UInt32Array,40081,UInt32Array,ReadWrite,"[10000,20000,30000,4000000000]",ElementCount=4
ModbusTcp,Int64Array,40089,Int64Array,ReadWrite,"[-10000000000,20000000000,-30000000000,40000000000]",ElementCount=4
ModbusTcp,UInt64Array,40105,UInt64Array,ReadWrite,"[10000000000,20000000000,30000000000,40000000000]",ElementCount=4
ModbusTcp,FloatArray,40121,FloatArray,ReadWrite,"[1.25,-2.5,3.75,4.5]",ElementCount=4
ModbusTcp,DoubleArray,40129,DoubleArray,ReadWrite,"[1.125,-2.25,3.5,4.875]",ElementCount=4
SiemensS7,BoolArray,DB1.DBX160.0,BoolArray,ReadWrite,8 bits,ElementCount=8
SiemensS7,Int8Array,DB1.DBB168,Int8Array,ReadWrite,"[-10,20,-30,40]",ElementCount=4
SiemensS7,UInt8Array,DB1.DBB172,UInt8Array,ReadWrite,"[10,20,30,240]",ElementCount=4
SiemensS7,UInt16Array,DB1.DBW180,UInt16Array,ReadWrite,"[100,2000,30000,60000]",ElementCount=4
SiemensS7,Int32Array,DB1.DBD188,Int32Array,ReadWrite,"[-100000,200000,-300000,400000]",ElementCount=4
SiemensS7,UInt32Array,DB1.DBD204,UInt32Array,ReadWrite,"[100000,200000,300000,4000000000]",ElementCount=4
SiemensS7,Int64Array,DB1.DBB220,Int64Array,ReadWrite,"[-10000000000,20000000000,-30000000000,40000000000]",ElementCount=4
SiemensS7,UInt64Array,DB1.DBB252,UInt64Array,ReadWrite,"[10000000000,20000000000,30000000000,40000000000]",ElementCount=4
SiemensS7,DoubleArray,DB1.DBB284,DoubleArray,ReadWrite,"[1.125,-2.25,3.5,4.875]",ElementCount=4
BACnetIp,BoolBlock,binaryValue:1:presentValue,Bool,ReadWrite,instances 1-4,Four objects
BACnetIp,FloatBlock,analogValue:1:presentValue,Float,ReadWrite,instances 1-4,Four objects
BACnetIp,DoubleBlock,largeAnalogValue:1:presentValue,Double,ReadWrite,instances 1-4,Four objects
BACnetIp,IntBlock,integerValue:1:presentValue,Int32,ReadWrite,instances 1-4,Four objects
BACnetIp,UIntBlock,positiveIntegerValue:1:presentValue,UInt32,ReadWrite,instances 1-4,Four objects
BACnetIp,StringBlock,characterstringValue:1:presentValue,String,ReadWrite,instances 1-4,Four objects
BACnetIp,StateBlock,multiStateValue:1:presentValue,UInt32,ReadWrite,instances 1-4,Four objects
Snmp,IntBlock,1.3.6.1.4.1.53864.2.1.1.0,Int32,ReadWrite,indexes 1-4,Four OIDs
Snmp,GaugeBlock,1.3.6.1.4.1.53864.2.2.1.0,UInt32,ReadWrite,indexes 1-4,Four OIDs
Snmp,Counter32Block,1.3.6.1.4.1.53864.2.3.1.0,UInt32,ReadWrite,indexes 1-4,Four OIDs
Snmp,Counter64Block,1.3.6.1.4.1.53864.2.4.1.0,UInt64,ReadWrite,indexes 1-4,Four OIDs
Snmp,StringBlock,1.3.6.1.4.1.53864.2.5.1.0,String,ReadWrite,indexes 1-4,Four OIDs
Dnp3,Binary0,Binary:0,Bool,ReadOnly,true,Indexes 0-3
Dnp3,DoubleBitBinary0,DoubleBitBinary:0,UInt8,ReadOnly,2,Indexes 0-3
Dnp3,Analog0,Analog:0,Int32,ReadOnly,12,Indexes 0-3
Dnp3,Counter0,Counter:0,UInt32,ReadOnly,100,Indexes 0-3
Dnp3,FrozenCounter0,FrozenCounter:0,UInt32,ReadOnly,100,Indexes 0-3
Dnp3,BinaryOutput0,BinaryOutput:0,Bool,ReadWrite,false,Indexes 0-3
Dnp3,AnalogOutput0,AnalogOutput:0,Int32,ReadWrite,24,Indexes 0-3
